job_title,company,location,description,url,id
"Senior Member of Technical Staff, Multimodal AI",cohere,,,https://jobs.ashbyhq.com/cohere/job/443368a3-6276-4b90-9671-27fed40fd6d2,8f17a85ea797b79edd877bea258e8b46a15ad695ceee6466c99fb7ebf89e0db8
"Member of Technical Staff, Training Performance Engineer",cohere,,,https://jobs.ashbyhq.com/cohere/job/d42f5fd4-1ffc-45b9-957c-f09862db6af6,2edce1aa1e3c9888450342d856f3db3ddd8418213fab998aa0b065c72f496ba3
"Member of Technical Staff, Training Infra Engineer",cohere,,,https://jobs.ashbyhq.com/cohere/job/a13207e7-dc82-473f-8ca4-e832452fe8c3,39640a3d57c1c31513ccc4b980a3f263ef3e8aad057fb88a1fec93d67d3a0364
AI Data Trainer - Investment Analysis (Part-Time),cohere,,,https://jobs.ashbyhq.com/cohere/job/a912a36f-0300-41d3-997f-636cc85a5e1b,779b220cbf1f67abb18afb0fec37560ca39e85999250f01bf6f0c0397b7054a9
"Member of Technical Staff, Post-Training",cohere,,,https://jobs.ashbyhq.com/cohere/job/554a9380-ab50-4338-88a9-c6b8ab19d92e,7bba0aeaf5c85bd1b9398285be1f6d0fed52b8a1386d727e9b0741764dbcd7e0
"Member of Technical Staff, Pre-Training Data",cohere,,,https://jobs.ashbyhq.com/cohere/job/859e2e47-02fb-4afe-bb8a-e83bf4d8c265,c2edcb321cdc2a09f8e1a7e10323ee53213bd76af4c150c469314bda71389844
"AI Data Trainer, English Language",cohere,,,https://jobs.ashbyhq.com/cohere/job/492d8254-096e-416d-92a7-d04a08dd76ce,d408d9cb6814f3074334370f927caab1e238d3aefd7eb0875c6693f831f2db07
"AI Data Trainer, Safety",cohere,,,https://jobs.ashbyhq.com/cohere/job/20a894a6-1a47-44a4-a8b4-6774764532d3,c7733ac74799f6ff0b04f195a36c64d52e1e7a4786902d61839a214a9f4c50b2
"Counsel, Privacy and AI Regulations",cohere,,,https://jobs.ashbyhq.com/cohere/job/89d019ad-d525-4fae-8001-5cdcbcc7d0d4,166804a219ae0c7341082d0da28b3b3d2193a1855684d0015baaa9f6d22917fd
"Technical Program Manager, AI Delivery for Public Sector & Defence , East Coast",cohere,,,https://jobs.ashbyhq.com/cohere/job/683407cf-f648-4391-84b4-d0c26d9a1327,a9535e9a3664fc1d4b17cf7088cf082f1c2407bc30405f9d2e4cece12b056bd1
"AI Program Manager, XFN",cohere,,,https://jobs.ashbyhq.com/cohere/job/0b335e67-edc0-4e7e-a409-85481a3e90b8,e41a174a5d41688f022a7f99d720d45d8e913ca65f422577197b8b70e805a8e7
"Member of Technical Staff, Synthetic Data",cohere,,,https://jobs.ashbyhq.com/cohere/job/2df2da3c-fb69-4d4d-b3c9-077b3df2ba3d,eee0d6e795c8e92408db2c826e8ec3d2ab1661cfb42e755ba133af140a26f625
"Member of Technical Staff, Data Engineering",cohere,,,https://jobs.ashbyhq.com/cohere/job/0885b39d-b2f8-44be-af4c-e533be2b34af,3ec519499db646b4548b6e80af0df8b7f17c3f637b5202a11a155a3cfa82593c
"Research Engineer, Post-Training (All Industry Levels)",character,,,https://jobs.ashbyhq.com/character/job/449bf7c1-41d7-47a4-89a7-0ee0b31f5918,8eacc307b51901597e9435206fe209c82a0863862126d31e32426afae9d794c6
"Staff Data Scientist, Trust & Safety",character,,,https://jobs.ashbyhq.com/character/job/07df7a5b-a285-4bfb-bef0-ee962efe3ab8,f39047cc32a459bd02d600135facebddde8c0d252ccf741ab4b9efc66067cee3
"Research Engineer, AI Safety & Alignment",character,,,https://jobs.ashbyhq.com/character/job/a7ddb640-466f-4a1f-9a94-7465006aad05,dbc87c7c546c5a2c19aeeebaf8f7987350400befe8050e873a637bbd12e6ee4b
"Technical Program Manager, Forward Deployed Engineering (East Coast)",cohere,,,https://jobs.ashbyhq.com/cohere/job/7f46966a-7efc-4e0a-b26c-3b38e9cb79da,416abb2fd49c5fc5b6421a6e98ec9c8850a7f9c0b78cc615e24b9f57aab74a77
Senior/Staff Backend Engineer,cohere,,,https://jobs.ashbyhq.com/cohere/job/ea5662f4-c27e-475e-a502-4ad8015a2906,d950ee5d0acee7d600d40dce4afa317e72fca4f8e660b6f18d8c99ac94807c8d
"Senior Research Engineer, Model Evaluation",cohere,,,https://jobs.ashbyhq.com/cohere/job/cb5d588c-5637-423a-968b-bf637ee2caf9,df5f9ba1e394490ef76353deed8455fb096e06b42c17a67ee52d2bc2b29483d1
